id,LAT,LON,NO2
NA06 Museo Nazionale,40.8541679382324,14.2511110305786,45.8
NA06 Museo Nazionale,40.8541679382324,14.2511110305786,49.3
BN32 Via Mustilli,41.1313896179199,14.7891664505005,6.5
BN32 Via Mustilli,41.1313896179199,14.7891664505005,11.9
AV41 Scuola V Circolo,40.92305374145511,14.7866668701172,6.0
AV41 Scuola V Circolo,40.92305374145511,14.7866668701172,5.2
SA23 Scuola Conti,40.6952781677246,14.7775001525879,21.1
SA23 Scuola Conti,40.6952781677246,14.7775001525879,23.3
CE51 Istituto Manzoni,41.078609466552706,14.3383331298828,10.8
CE51 Istituto Manzoni,41.078609466552706,14.3383331298828,8.0
CE52 Scuola De Amicis,41.0769157409668,14.3312501907349,20.1
CE52 Scuola De Amicis,41.0769157409668,14.3312501907349,14.4
CE54 Scuola Settembrini,41.0459289550781,14.3780832290649,39.4
CE54 Scuola Settembrini,41.0459289550781,14.3780832290649,28.6
NA07 Ferrovia,40.8541679382324,14.2716665267944,97.0
NA07 Ferrovia,40.8541679382324,14.2716665267944,82.7
NA09 Via Argine,40.8638877868652,14.3413887023926,15.0
NA09 Via Argine,40.8638877868652,14.3413887023926,13.4
NA08 Osp. N. Pellegrini,40.872501373291,14.2827777862549,55.7
NA08 Osp. N. Pellegrini,40.872501373291,14.2827777862549,26.1
NA02 Ospedale Santobono,40.8491668701172,14.2311115264893,43.3
NA02 Ospedale Santobono,40.8491668701172,14.2311115264893,34.1
NA01 Oss. Astronomico,40.8636932373047,14.2545108795166,22.3
NA01 Oss. Astronomico,40.8636932373047,14.2545108795166,12.1
SA22 Via Vernieri,40.6822204589844,14.7661113739014,17.5
SA22 Via Vernieri,40.6822204589844,14.7661113739014,10.9
Solofra Zona Industriale,40.8355560302734,14.8249998092651,1.8
Solofra Zona Industriale,40.8355560302734,14.8249998092651,5.1
Acerra Zona Industriale,40.979648590087905,14.4009828567505,54.6
Acerra Zona Industriale,40.979648590087905,14.4009828567505,-9999.0
San Vitaliano Scuola Marconi,40.9244270324707,14.4814472198486,12.3
San Vitaliano Scuola Marconi,40.9244270324707,14.4814472198486,12.6
Cava de'Tirreni Stadio,40.702,14.708,21.0
Cava de'Tirreni Stadio,40.702,14.708,40.4
Nocera Scuola Solimena,40.740249633789105,14.6434669494629,20.6
Nocera Scuola Solimena,40.740249633789105,14.6434669494629,17.8
Benevento Z. Industriale,41.146842956543,14.8362503051758,5.2
Benevento Z. Industriale,41.146842956543,14.8362503051758,4.8
Casoria Scuola Palizzi,40.908,14.292,29.5
Casoria Scuola Palizzi,40.908,14.292,11.4
Torre Annunziata,40.754,14.45,7.9
Torre Annunziata,40.754,14.45,7.8
S. Felice a Cancello C.Sc,40.9904327392578,14.4239892959595,13.6
S. Felice a Cancello C.Sc,40.9904327392578,14.4239892959595,15.7
Acerra Scuola Caporale,40.944,14.371,29.4
Acerra Scuola Caporale,40.944,14.371,14.8
Napoli Via Epomeo,40.84495,14.20567,18.0
Napoli Via Epomeo,40.84495,14.20567,15.1
Volla Via Filichito,40.886377,14.349968,17.6
Volla Via Filichito,40.886377,14.349968,13.6
Pomigliano d'Arco Asi,40.9208335876465,14.3850002288818,19.2
Pomigliano d'Arco Asi,40.9208335876465,14.3850002288818,14.9
Avellino Scuola Alighieri,40.9187049865723,14.7854919433594,21.5
Avellino Scuola Alighieri,40.9187049865723,14.7854919433594,16.1
Benevento Campo Sportivo,41.13,14.78,5.1
Benevento Campo Sportivo,41.13,14.78,5.7
Battipaglia Parco Fiume,40.611083984375,14.9758615493774,6.2
Battipaglia Parco Fiume,40.611083984375,14.9758615493774,4.7
Portici Parco Reggia,40.8159713745117,14.3502502441406,4.2
Portici Parco Reggia,40.8159713745117,14.3502502441406,2.3
Pozzuoli ex Villa Av.,40.827,14.122,17.3
Pozzuoli ex Villa Av.,40.827,14.122,21.6
Polla Area Tritovagliat.,40.4880828857422,15.5200834274292,8.2
Polla Area Tritovagliat.,40.4880828857422,15.5200834274292,9.3
Ariano Irpino,41.156307220459,15.0965003967285,0.6
Ariano Irpino,41.156307220459,15.0965003967285,0.1
Napoli Parco Virgiliano,40.8,14.178,6.7
Napoli Parco Virgiliano,40.8,14.178,4.4
Ottati Alburni,40.4626,15.3159,3.8
Ottati Alburni,40.4626,15.3159,3.1
